Accession	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources
sp|P48365|GYP7_YEAST	52	2936655.614	2993563.045	3255417.271	2622013.828	2346623.427	2440308.001	5107940.336	4615459.427	4965984.141
sp|P48412|UPF3_YEAST	21	2145393.094	2021528.423	2268421.953	2100705.485	2051191.63	2048881.3	2400945.197	2053629.189	2291917.687
sp|P48415|SEC16_YEAST	133	23448322.25	20247408.42	23765159.48	18995908.35	18121129.87	18304835.15	20185621.28	17144739.48	19400288.46
sp|P48439|OST3_YEAST	21	4081779.326	3718443.352	4331877.049	3468477.429	3377727.263	3504183.992	4807255.288	4266442.875	4744928.595
sp|P48445|BPL1_YEAST	53	10735570.83	8938465.412	10111244.31	6561658.776	5733532.383	6047266.638	11009006.73	8853584.488	10909697.18
sp|P48510|DSK2_YEAST	19	366421.2975	360422.2989	422984.7655	690035.6797	842142.9492	709265.3879	416513.4357	361341.134	397143.6091
sp|P48524|BUL1_YEAST	35	3111068.958	2882846.4	3411182.352	4168601.714	4208867.511	4337172.179	3813137.266	3238196.257	3403648.774
sp|P48525|SYEM_YEAST	12	669227.0591	656364.7554	709451.0981	813080.3613	847611.7446	786194.8979	809823.752	651315.7251	738595.3286
sp|P48526|SYIM_YEAST	35	1325706.28	1290123.917	1369184.961	1723558.207	1632480.895	1716834.102	1604158.198	1350870.022	1508693.737
sp|P48527|SYYM_YEAST	23	2726811.915	2237667.252	2588682.382	1842479.297	1752413.923	1778864.803	2669769.488	2104617.991	2511787.813
sp|P48558|BXI1_YEAST	9	467488.0293	384068.1509	423854.874	274171.8081	224333.6045	239963.0388	502947.2832	455293.5586	506521.2446
sp|P48559|YPT11_YEAST	16	819951.6142	762174.5189	836039.8491	768556.5086	712688.4091	741441.3741	829673.1309	693397.4783	777881.6283
