Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|Q99303|YD23A_YEAST;sp|Q12439|YO21A_YEAST;sp|P25383|YC21A_YEAST;sp|P0CX62|YG22A_YEAST;sp|P0CX61|YF21A_YEAST;sp|Q12392|YD21A_YEAST;sp|Q12293|YO22A_YEAST;sp|Q12260|YB21A_YEAST;sp|P0C2J4|YL21A_YEAST	75	178.4	170.34	312.05	708.29	704.89	569.69	292.83	232.7
sp|Q03494|YD22B_YEAST;sp|P25384|YC21B_YEAST;sp|P0CX64|YG22B_YEAST;sp|P0CX63|YF21B_YEAST;sp|Q12113|YO21B_YEAST;sp|Q12501|YO22B_YEAST;sp|P0C2J3|YL21B_YEAST;sp|Q12472|YD21B_YEAST;sp|Q12491|YB21B_YEAST;sp|Q03483|YD22A_YEAST	194220	167720	205020	138300	118850	126740	188540	147220	172270
sp|P0CX81|MTCU2_YEAST;sp|P0CX80|MTCU1_YEAST	109740	96122	114440	133520	141290	112120	177030	140060	172260
sp|P0CX83|RL19B_YEAST;sp|P0CX82|RL19A_YEAST	975810	1066500	1231700	1500100	1226700	1324000	1328100	1165700	1148500
sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST	117010	111350	141090	278050	357500	319630	120430	108950	104200
sp|P10080|SSBP1_YEAST	369610	316490	371310	309460	320880	305180	298790	237050	268150
sp|P10081|IF4A_YEAST	1338000	1264600	1470400	2089700	2049000	2058500	1112900	959700	948840
sp|P10127|ADH4_YEAST	507240	487030	582810	1336000	1455400	1351600	941120	777620	737170
sp|P10355|PT122_YEAST	2187.1	2443.8	2250.6	4417.7	4020	4860.9	3781.2	3280.2	3412.5
sp|P10356|YEY2_YEAST	70537	69029	74910	110920	103930	108030	64253	57778	60283
sp|P10363|PRI1_YEAST	386400	349500	404330	224750	225230	213250	315220	255760	300380
sp|P10507|MPPB_YEAST	398770	365610	411480	430160	416260	412100	504390	425330	456260
sp|P10566|MRS3_YEAST	57506	53398	61089	40149	40379	39612	69754	62326	72265
sp|P10591|HSP71_YEAST	7670600	6950700	7827400	6554200	6390700	6129900	9495400	7593000	8056000
sp|P10592|HSP72_YEAST	1007700	877560	1063700	1803700	2344800	2048200	717820	540930	521370
sp|P10614|CP51_YEAST	425090	374940	442960	242770	223050	230360	625580	537700	598510
sp|P10622|RLA3_YEAST	1159300	944760	1028600	720120	611310	660380	988850	887490	1040900
sp|P10659|METK1_YEAST	379660	348570	427320	790340	763360	766210	267170	236920	226210
sp|P10662|RT01_YEAST	131460	122130	135820	246450	247310	260790	157380	140040	135120
sp|P10663|RT02_YEAST	52874	52881	56665	57689	52736	55791	79197	70272	81844
sp|P10664|RL4A_YEAST	592340	583390	721600	1621000	1553800	1585000	1006900	870160	876510
sp|P10823|GPA2_YEAST	298950	250880	297380	258090	226650	235460	529520	463770	522190
sp|P10834|PET54_YEAST	194730	187610	207610	195520	175330	185040	237300	198240	222170
sp|P10849|MTF2_YEAST	183630	173650	196270	211760	207090	204840	266960	214960	248190
sp|P10862|RAD18_YEAST	26699	26920	27724	21220	19617	21088	25518	22828	24662
sp|P10869|AK_YEAST	395560	335270	397500	633730	576330	632570	285660	239280	259070
sp|P10870|SNF3_YEAST	4222.6	4296.3	4409	6401.1	7275.1	6778.9	7214.3	5564.3	6073.3
sp|P10961|HSF_YEAST	75017	74839	86533	80437	91040	83449	120530	95374	101320
sp|P10962|MAK16_YEAST	112310	80327	105480	69287	58105	61888	101250	76036	76998
sp|P10963|PCKA_YEAST	60583	70851	137790	2502500	2598300	2612700	1132500	910150	960200
sp|P10964|RPA1_YEAST	869280	798840	955940	1351600	1369500	1337700	856950	721240	752660
sp|P11075|SEC7_YEAST	1798600	1522000	1791900	1669400	1528900	1574500	1541600	1328900	1458300
sp|P11076|ARF1_YEAST	1010200	915790	1154800	936620	839310	852100	1201200	1049200	1072400
sp|P11154|PYC1_YEAST	1552500	1366200	1679800	2419300	2272200	2363700	1912200	1544600	1663400
sp|P11325|SYLM_YEAST	194670	176150	203740	211870	197640	208210	211740	182360	201400
sp|P11353|HEM6_YEAST	288890	260190	296060	213690	218930	203200	448030	382410	439920
sp|P11412|G6PD_YEAST	752310	691970	850290	862430	919260	851400	855820	698790	745720
sp|P11433|CDC24_YEAST	408020	370040	440880	467390	438040	476670	348240	306780	309600
sp|P11484|SSB1_YEAST	107580	97701	107080	112370	118100	109270	80273	68317	76664
sp|P11491|PPB_YEAST	311720	261550	288700	177240	160320	165680	204330	176890	206370
sp|P11632|NHP6A_YEAST	299730	257190	330040	178400	233080	190500	230460	168830	192380
sp|P11633|NHP6B_YEAST	8107.2	7278.9	7939.2	6168.8	6487.7	6088.1	4688.1	4364.7	6144.9
sp|P11655|SEC12_YEAST	97169	89408	98828	93607	83881	89008	87323	82218	87491
sp|P11709|BIK1_YEAST	147570	136270	160270	150180	153480	145650	228730	178750	211610
sp|P11745|RNA1_YEAST	757010	677440	778540	1011500	1006500	1056900	629210	586320	582990
sp|P11747|TAF13_YEAST	27499	25405	28575	19941	19088	20022	20174	18193	20952
sp|P11792|SCH9_YEAST	87236	89002	100980	151140	145160	145710	111090	93107	96264
sp|P11914|MPPA_YEAST	149140	141950	159540	364620	395430	378920	284120	224640	263100
sp|P11927|KAR1_YEAST	168570	146650	165580	86903	77872	81763	132510	111820	131750
sp|P11938|RAP1_YEAST	571030	529420	608560	522940	552760	516090	584470	477640	530680
sp|P11972|SST2_YEAST	294580	265850	308140	252060	253170	253320	196260	163270	230210
